Edad,Experiencia_Anios,Horas_Trabajo_Semanal,Nivel_Educacion,Num_Proyectos,Certificaciones,Genero,Ciudad,Salario
19,17,42.1,5,1,7,F,Medellín,8446.57
20,1,32.4,4,14,1,F,Bogotá,5885.33
66,31,42.1,2,3,4,M,Medellín,8851.93
54,7,40.4,2,15,3,F,Bogotá,7452.83
66,21,33.4,4,6,7,F,Barranquilla,8867.41
34,5,52.5,1,24,0,F,Cali,5847.91
66,11,26.4,2,24,2,F,Cali,8890.06
19,39,38.9,2,11,9,M,Bogotá,10169.76
19,35,33.3,3,2,7,M,Cali,8288.22
45,14,54.7,4,16,4,F,Cali,8666.2
40,27,44.8,2,8,3,M,Medellín,7505.43
54,17,34.8,1,7,5,M,Bogotá,6195.02
49,1,37.8,3,22,4,M,Cali,8900.88
50,12,54.9,3,5,2,M,Barranquilla,5306.04
18,14,32.4,2,14,4,F,Bogotá,7797.38
36,19,25.9,2,9,3,F,Medellín,6927.75
19,28,42.3,4,22,0,F,Barranquilla,9906.81
61,28,42.5,5,24,0,M,Cali,11778.3
43,2,45.3,5,5,6,F,Cali,7808.33
49,18,45.4,4,14,3,F,Bogotá,8813.98
23,2,54.2,2,13,0,F,Cali,6492.91
49,13,26.3,2,18,5,F,Bogotá,6947.24
21,39,30.4,2,12,0,M,Cali,9082.43
28,3,45.3,2,13,7,F,Barranquilla,6180.84
34,10,31.2,5,2,8,M,Medellín,7697.51
55,30,28.3,4,3,2,M,Barranquilla,9604.55
41,31,54.9,3,13,6,F,Medellín,11872.07
22,26,27.0,2,13,4,M,Bogotá,8040.58
69,29,37.2,4,7,2,M,Cali,8259.32
51,1,39.5,4,9,4,F,Barranquilla,8010.64
23,8,50.5,2,8,9,F,Cali,7201.28
39,27,25.0,4,13,6,F,Bogotá,8920.37
28,30,43.3,2,7,6,F,Medellín,8464.84
65,33,32.9,1,10,8,F,Barranquilla,8510.71
33,14,45.0,3,9,7,M,Medellín,8256.04
50,24,32.7,3,17,3,F,Medellín,8564.31
26,35,52.6,1,3,4,M,Bogotá,5824.61
23,7,32.8,2,3,4,M,Medellín,3957.62
33,8,20.3,5,11,9,F,Bogotá,8403.42
46,36,33.7,3,17,1,M,Medellín,10176.99
20,38,37.9,3,7,6,M,Medellín,10151.76
37,31,48.7,2,2,6,F,Barranquilla,9217.55
53,16,29.9,1,17,8,F,Bogotá,7483.9
36,34,30.1,2,6,8,M,Cali,8711.87
43,36,47.7,2,0,3,M,Cali,7282.31
20,18,29.0,2,21,4,M,Cali,8109.94
36,28,38.6,2,12,6,M,Barranquilla,9987.37
37,6,38.7,3,2,9,M,Barranquilla,7154.42
49,27,41.7,2,2,6,F,Medellín,8644.71
24,8,34.0,4,14,9,F,Medellín,10499.18
69,27,32.6,2,20,7,F,Cali,9422.11
58,5,42.7,3,18,7,F,Medellín,8670.55
50,28,32.8,1,3,1,M,Medellín,6998.98
57,16,29.1,3,12,8,F,Barranquilla,9394.74
56,15,49.8,1,12,3,F,Cali,8225.93
35,22,43.9,5,14,0,M,Bogotá,8666.46
57,30,54.1,4,18,0,M,Cali,10461.3
18,2,46.3,3,15,4,M,Barranquilla,6299.52
28,20,29.9,1,6,6,F,Cali,7519.59
45,25,40.8,3,2,4,F,Bogotá,7810.67
42,35,31.9,4,19,2,M,Medellín,11631.52
67,36,26.8,2,1,6,M,Cali,9905.86
40,21,36.4,3,17,0,F,Barranquilla,7240.71
48,11,47.9,4,24,0,M,Barranquilla,10430.47
47,12,42.2,4,10,1,M,Cali,8412.87
59,10,28.9,4,0,0,M,Medellín,6083.25
52,15,36.1,4,15,8,F,Medellín,10614.48
24,7,38.9,4,16,3,F,Barranquilla,7357.19
33,39,26.5,2,15,6,F,Barranquilla,10931.34
43,39,45.7,3,9,4,M,Bogotá,9839.85
65,1,38.2,4,16,6,M,Medellín,9608.36
69,29,28.9,3,2,6,F,Cali,8413.82
66,29,28.4,5,17,0,M,Barranquilla,10661.37
19,11,48.8,1,18,0,M,Barranquilla,6955.76
18,9,37.0,2,13,2,F,Barranquilla,6431.2
65,10,49.5,2,20,9,M,Barranquilla,10316.62
29,14,52.6,2,24,1,M,Medellín,7606.2
22,15,48.2,2,1,6,M,Barranquilla,6536.63
54,16,35.7,3,11,2,M,Medellín,7281.83
49,25,20.0,1,10,6,F,Bogotá,7910.31
26,1,42.5,3,16,8,M,Bogotá,7493.15
58,11,56.7,3,5,0,F,Cali,6616.8
52,25,39.7,2,18,2,F,Barranquilla,7554.2
36,22,24.1,2,12,5,F,Cali,7982.67
65,17,34.6,3,6,8,F,Medellín,8737.98
33,31,38.5,4,21,4,M,Cali,9490.19
20,37,31.2,4,10,2,M,Cali,9301.01
37,2,19.5,4,6,7,F,Barranquilla,7658.32
41,37,39.2,5,12,4,F,Medellín,11065.22
50,2,33.7,3,12,5,F,Medellín,7984.05
41,29,54.2,4,20,1,F,Barranquilla,9836.41
69,0,40.8,4,0,3,M,Medellín,6266.77
28,29,43.8,4,18,0,F,Bogotá,9396.34
66,31,39.0,1,18,3,F,Barranquilla,9591.79
25,27,40.7,5,22,0,M,Barranquilla,8155.76
53,20,26.8,3,14,3,F,Barranquilla,7870.29
55,12,31.7,4,13,1,M,Bogotá,8872.38
57,26,48.7,1,2,5,M,Medellín,6849.63
37,35,41.7,2,20,5,M,Bogotá,10052.96
52,6,36.8,2,19,7,F,Bogotá,8470.3
65,21,43.9,2,3,8,M,Bogotá,7351.22
42,9,44.0,1,6,7,M,Cali,7814.13
52,38,55.9,4,0,0,F,Medellín,8653.45
42,14,41.3,1,22,2,F,Medellín,7144.33
46,14,31.5,2,23,5,F,Barranquilla,9521.27
35,3,39.1,2,18,0,F,Barranquilla,6124.12
63,31,44.9,3,2,7,M,Cali,9415.52
35,22,48.0,2,19,5,F,Bogotá,10262.08
19,5,27.1,2,14,0,M,Barranquilla,5028.55
52,23,42.0,3,12,9,M,Medellín,10924.23
33,19,32.8,3,21,1,F,Barranquilla,8283.24
58,36,35.5,1,13,5,F,Bogotá,9477.1
53,19,46.8,2,6,9,F,Cali,8809.5
50,11,46.0,2,0,7,F,Bogotá,6444.31
21,32,34.6,5,12,4,M,Barranquilla,9030.61
50,27,38.7,2,3,0,F,Cali,7213.04
31,7,35.7,3,11,9,M,Cali,8887.69
38,0,63.1,2,6,1,M,Bogotá,5817.95
65,36,42.2,3,1,3,F,Barranquilla,9336.34
37,21,33.3,1,16,3,F,Bogotá,7258.43
25,5,50.6,1,0,6,F,Barranquilla,5534.69
24,20,50.9,3,13,1,M,Barranquilla,8010.01
20,31,54.3,2,21,6,M,Medellín,10704.82
34,34,56.7,1,20,6,M,Cali,10099.44
50,14,45.7,3,0,6,F,Barranquilla,7732.91
65,4,37.2,5,2,2,F,Bogotá,6756.42
29,5,38.4,2,10,5,F,Bogotá,6957.29
68,24,37.7,3,6,5,F,Medellín,7897.79
39,39,36.8,5,24,3,F,Medellín,11859.27
39,28,49.9,4,8,0,F,Medellín,7865.62
63,6,40.0,3,21,8,F,Cali,12579.7
47,39,47.8,3,2,1,M,Medellín,8973.71
55,12,45.4,1,0,8,M,Cali,5748.95
55,37,31.2,3,18,7,M,Medellín,10268.82
62,17,26.3,2,1,0,M,Cali,4527.94
68,1,30.1,2,20,6,F,Barranquilla,7419.72
25,7,36.6,2,23,9,F,Medellín,8114.99
44,10,41.1,1,4,2,F,Cali,4616.22
44,32,34.8,3,16,9,M,Barranquilla,10528.29
51,37,45.6,3,18,9,F,Medellín,12546.6
38,26,35.8,3,4,8,M,Barranquilla,8487.7
47,19,42.1,1,22,4,M,Medellín,9336.82
50,11,40.9,1,20,2,M,Bogotá,6691.43
45,30,53.9,3,13,7,F,Cali,9987.46
64,26,32.2,5,9,2,F,Bogotá,8892.61
50,31,57.7,1,20,6,M,Cali,10549.68
22,9,35.2,2,6,6,M,Bogotá,6073.08
65,2,29.3,4,7,6,F,Medellín,9182.96
36,26,38.3,1,7,0,M,Bogotá,5858.16
21,34,65.9,4,6,4,F,Medellín,8421.82
52,30,47.2,3,12,0,M,Cali,9085.39
66,14,44.8,2,13,6,F,Medellín,8561.03
34,15,46.4,2,18,7,M,Bogotá,9208.01
61,12,33.8,2,10,6,F,Barranquilla,7842.66
45,34,42.6,2,1,0,M,Cali,6991.45
47,10,40.0,4,16,2,F,Barranquilla,7860.62
46,20,54.5,3,5,9,M,Barranquilla,8751.83
63,10,39.1,3,8,2,F,Barranquilla,6097.76
23,29,37.0,4,18,6,M,Barranquilla,11268.13
52,34,30.7,2,4,3,M,Barranquilla,9076.24
58,21,41.1,3,8,2,M,Bogotá,8856.5
54,37,42.3,3,24,5,M,Medellín,11458.23
41,30,30.4,4,6,9,M,Medellín,9398.39
46,13,43.6,2,3,5,M,Barranquilla,7103.28
66,23,41.9,3,17,9,F,Bogotá,10197.19
63,31,48.1,4,17,4,F,Barranquilla,12025.83
48,35,49.7,2,19,5,M,Barranquilla,8620.62
52,31,40.8,1,16,2,F,Cali,8350.45
50,14,31.7,3,3,9,M,Bogotá,7153.83
69,34,33.4,2,21,4,M,Barranquilla,11763.53
38,2,54.1,3,15,8,F,Medellín,9180.28
49,15,41.3,5,21,3,M,Cali,10616.0
40,4,54.0,3,22,1,M,Barranquilla,9502.5
50,20,44.0,3,4,4,F,Barranquilla,7798.01
20,9,46.0,3,8,2,M,Barranquilla,6775.01
35,18,47.5,1,1,2,M,Bogotá,4269.43
42,24,30.2,2,1,3,F,Barranquilla,6386.89
59,3,42.5,4,3,3,F,Medellín,6900.54
48,28,30.1,3,19,4,M,Cali,9238.13
20,18,37.7,1,19,6,M,Bogotá,8189.92
57,1,45.1,2,16,3,M,Cali,5626.51
63,9,31.8,3,19,6,M,Medellín,9652.11
41,24,44.5,4,20,8,M,Barranquilla,10764.8
67,19,28.0,4,24,2,M,Bogotá,9765.12
49,18,49.1,2,18,4,M,Barranquilla,9456.19
64,22,34.7,4,2,3,F,Bogotá,9391.57
39,23,31.8,3,4,8,M,Barranquilla,9085.45
40,10,28.5,3,9,4,M,Medellín,6458.35
19,33,35.4,3,5,9,F,Medellín,9580.52
44,27,24.7,1,2,1,M,Barranquilla,5865.74
59,4,35.6,5,16,9,M,Medellín,10952.55
19,4,48.8,1,9,0,F,Barranquilla,4783.89
43,20,38.5,2,23,6,M,Bogotá,8532.84
34,11,30.6,4,11,0,F,Medellín,6815.35
57,3,41.8,3,0,7,F,Bogotá,6031.78
50,19,41.1,4,17,8,F,Barranquilla,9904.72
26,37,55.7,3,18,6,F,Bogotá,10545.55
60,24,46.3,2,21,8,F,Cali,10953.87
65,13,42.4,4,19,9,F,Barranquilla,11607.44
56,10,47.2,1,3,5,F,Medellín,5847.66
46,31,38.9,4,14,6,M,Medellín,11563.64
59,10,39.4,2,8,2,F,Cali,5364.08
43,17,53.3,4,5,8,F,Barranquilla,8264.18
52,26,26.9,1,11,2,M,Barranquilla,9142.11
67,17,47.7,3,17,5,M,Barranquilla,8876.41
42,22,39.1,4,22,3,F,Barranquilla,11137.52
41,10,37.7,3,14,8,F,Bogotá,8649.72
30,20,35.6,3,18,0,F,Barranquilla,7987.31
24,4,41.2,4,8,8,F,Bogotá,8346.21
53,22,39.7,3,21,3,M,Bogotá,10436.63
62,24,36.7,4,23,9,M,Medellín,13147.5
37,9,34.4,2,12,4,F,Barranquilla,6703.36
18,21,24.8,2,15,0,M,Bogotá,6916.39
25,18,34.2,1,12,0,M,Barranquilla,5817.85
63,0,35.9,2,0,5,M,Cali,4723.99
33,6,41.2,1,17,9,M,Bogotá,7899.5
31,3,55.7,3,21,0,F,Medellín,7238.59
29,0,35.1,2,2,1,M,Barranquilla,2694.39
68,14,31.8,1,16,2,M,Medellín,8504.51
40,39,34.3,1,21,6,F,Bogotá,10472.98
32,11,41.2,4,4,1,M,Bogotá,5917.82
45,21,44.7,3,24,4,F,Medellín,10421.44
51,21,45.8,2,5,8,F,Barranquilla,7922.71
19,16,46.6,4,20,9,M,Bogotá,10315.2
49,28,47.8,1,16,7,M,Cali,10611.76
40,13,37.8,5,16,7,F,Medellín,10246.0
39,19,56.4,3,0,1,M,Bogotá,6151.35
68,32,37.2,2,6,0,F,Barranquilla,7213.24
42,14,40.9,3,21,8,F,Bogotá,9332.03
39,11,50.4,4,15,9,M,Barranquilla,10360.63
39,39,44.5,2,4,3,F,Barranquilla,8297.24
66,19,22.1,4,15,8,F,Bogotá,10849.3
69,29,40.0,2,3,6,M,Cali,8481.28
59,37,46.9,2,10,5,M,Barranquilla,9091.79
23,2,29.3,1,13,9,F,Medellín,7013.7
32,27,46.0,2,12,8,M,Barranquilla,8542.88
60,25,43.1,2,23,9,F,Barranquilla,10880.15
54,29,49.5,4,7,3,M,Cali,8373.37
50,12,34.5,1,20,0,F,Barranquilla,6379.34
25,12,48.0,2,19,4,M,Bogotá,8601.58
61,1,41.3,3,14,5,M,Cali,8742.79
61,36,54.1,4,17,5,M,Barranquilla,12629.68
22,37,62.3,5,6,0,M,Bogotá,10040.44
56,1,52.3,4,20,6,M,Bogotá,9081.27
21,35,43.8,5,18,7,F,Barranquilla,12074.31
23,25,58.6,4,24,4,F,Medellín,11476.31
62,10,44.8,5,8,1,M,Medellín,7483.93
49,7,32.7,3,10,1,F,Barranquilla,6830.52
69,39,39.7,1,9,4,M,Barranquilla,9218.43
47,21,46.1,2,13,6,F,Bogotá,7309.42
64,19,46.6,3,15,6,F,Barranquilla,10079.52
52,7,31.0,2,7,3,F,Barranquilla,5693.34
57,28,31.3,2,0,2,M,Bogotá,7875.48
69,39,37.3,3,11,8,M,Barranquilla,10714.62
33,25,44.3,4,2,6,F,Barranquilla,8692.79
30,29,45.3,1,1,1,F,Barranquilla,6159.24
67,16,41.1,4,15,0,F,Bogotá,7493.11
59,19,33.3,3,3,1,F,Barranquilla,6798.23
47,15,53.9,5,1,2,M,Medellín,7989.32
36,6,31.4,4,11,4,M,Barranquilla,8289.81
34,15,50.4,4,23,2,F,Medellín,9480.83
36,26,45.9,3,16,9,M,Barranquilla,11113.37
45,22,50.2,2,19,8,F,Bogotá,10447.89
43,23,36.4,3,20,9,M,Medellín,11117.65
54,8,38.9,4,9,3,F,Barranquilla,8245.92
43,34,40.4,4,19,6,M,Barranquilla,11161.34
40,19,36.2,4,7,3,F,Barranquilla,7211.68
26,36,41.8,2,17,2,M,Barranquilla,10352.8
29,16,52.6,3,24,9,F,Bogotá,11088.66
18,30,29.6,2,17,0,M,Cali,7779.22
18,7,34.7,1,17,8,F,Medellín,7664.23
64,14,33.9,2,1,0,F,Barranquilla,6166.41
51,30,39.2,1,11,0,M,Bogotá,6899.69
49,29,38.9,4,9,0,M,Cali,8438.24
65,19,46.2,2,7,4,M,Bogotá,9039.15
42,38,40.3,2,18,6,F,Barranquilla,10550.26
57,11,42.4,5,9,6,F,Cali,9521.19
62,16,43.2,2,10,9,F,Medellín,9985.69
18,29,42.0,1,13,0,M,Medellín,6953.35
33,28,45.6,2,14,5,F,Bogotá,8183.92
56,18,39.0,1,23,8,M,Medellín,9875.65
22,10,53.2,1,22,5,F,Medellín,7341.32
39,33,60.3,1,9,3,F,Cali,7086.24
46,6,45.6,3,3,9,F,Medellín,8116.44
20,33,41.8,2,6,8,M,Cali,8381.94
29,19,45.0,2,10,2,F,Cali,4631.79
43,37,31.2,4,23,9,F,Cali,12765.82
33,23,41.4,2,21,3,M,Medellín,9118.66
68,9,34.1,4,21,3,F,Bogotá,11112.13
54,31,44.1,3,2,3,M,Bogotá,8328.17
39,14,34.2,2,4,5,F,Medellín,7442.09
46,36,37.2,4,1,6,F,Cali,9925.25
31,19,25.0,1,11,8,M,Medellín,7118.46
45,2,30.6,1,20,2,F,Barranquilla,6822.63
22,36,42.8,3,4,7,M,Bogotá,8820.46
64,39,33.0,3,6,7,M,Cali,9784.8
66,7,48.5,4,3,0,F,Medellín,6384.25
47,39,32.4,4,10,4,F,Cali,9759.16
63,22,43.6,2,21,9,F,Barranquilla,10801.25
69,39,33.9,3,8,4,F,Cali,10109.72
